# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:18:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-202604291618-4-55e6ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-profile-202604291618-4-21e7f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.550665
# Diagonal elements of inverse mass matrix:
# 0.00497654, 0.0141734, 0.0494589, 0.0797151, 0.116376, 0.61808, 0.0121066
-848.70191,1,0.55066524,2,3,0,852.96441,-1.6612609,-1.4600725,-1.5490199,-1.3373363,-0.65037997,-2.1811415,-0.8980916,0.4073463
-851.01079,0.92028309,0.55066524,3,7,0,853.15565,-1.666189,-1.3342534,-1.7884726,-1.259901,-0.93436497,-3.7924541,-0.7719022,0.46213316
-849.32977,0.83955368,0.55066524,3,7,0,853.60242,-1.6244254,-1.3952757,-1.4768212,-1.4480349,-0.55683693,-0.78530151,-0.78710695,0.45515969
-851.71443,0.93545499,0.55066524,3,7,0,853.44555,-1.6970768,-1.3628122,-2.0888158,-1.7867415,-1.0648822,-1.7366224,-0.85936996,0.42342878
-852.84375,0.96163575,0.55066524,3,7,0,855.77325,-1.6711353,-1.2866907,-1.7051872,-0.71174386,-0.73702962,-2.8983749,-1.0454891,0.35151986
-854.63239,0.89390393,0.55066524,3,7,0,858.57046,-1.6178919,-1.6321825,-1.7893136,-2.0598914,-0.82764822,-0.48770118,-0.6589729,0.51738246
-851.90249,0.97285297,0.55066524,3,7,0,857.25225,-1.8458861,-1.3574203,-1.5447285,-1.3468218,-0.98791328,-1.7880955,-0.81400545,0.44307977
-848.92134,1,0.55066524,3,7,0,852.93167,-1.6230777,-1.4264374,-1.7928232,-1.4025692,-0.46452096,-1.2269315,-0.93752718,0.39159498
-850.99157,0.9466386,0.55066524,3,7,0,851.97597,-1.6389253,-1.3314244,-1.3724658,-1.7496201,-1.194192,-1.0172965,-0.80483266,0.44716275
-851.47743,0.93494201,0.55066524,3,7,0,855.07613,-1.5889075,-1.2973233,-1.884273,-0.88714469,-0.48535134,-2.9339612,-0.96794583,0.37986254
-849.01901,0.94069565,0.55066524,2,7,0,853.4416,-1.5961189,-1.518854,-1.6767631,-1.1451636,-0.69519509,-1.8549572,-0.83856335,0.43233118
-849.30906,0.94360575,0.55066524,3,7,0,850.74923,-1.7099495,-1.2524366,-1.6191375,-1.3973388,-1.0162289,-0.8461128,-0.83805966,0.432549
-850.15555,0.73825935,0.55066524,3,7,0,853.65299,-1.5852504,-1.4923637,-1.5649156,-1.3427289,-0.76769883,-1.8408293,-0.99110159,0.37116759
-850.81095,0.96180116,0.55066524,2,7,0,854.31932,-1.6465243,-1.602732,-1.4716515,-1.3138103,-0.67060175,-1.8953691,-0.90798881,0.40333459
-850.58041,0.98611332,0.55066524,3,7,0,853.94574,-1.7332267,-1.4300473,-1.5769758,-0.85439911,-0.67681064,-1.8822068,-0.77534943,0.46054283
-851.30733,0.9805683,0.55066524,3,7,0,854.13001,-1.5470561,-1.3317424,-1.9042929,-1.4730229,-0.29153438,-0.76804957,-0.86388584,0.42152093
-849.79621,1,0.55066524,3,7,0,853.12646,-1.6936987,-1.3423834,-1.3928011,-1.076879,-1.0887462,-2.1053509,-0.84622932,0.42902962
