# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-1-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-1-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.538677
# Diagonal elements of inverse mass matrix:
# 0.00506514, 0.0136358, 0.0423148, 0.0863825, 0.113318, 0.737147, 0.0126255
-850.24432,0.85831652,0.53867711,3,7,0,856.18648,-1.5399039,-1.3312056,-1.731724,-1.357888,-0.32687126,-1.8338072,-0.99866832,0.36836967
-850.27915,0.97058724,0.53867711,3,7,0,852.82923,-1.7412739,-1.3278424,-1.4366782,-1.059499,-1.0280688,-2.1804199,-0.84432442,0.42984766
-851.31913,0.9308275,0.53867711,3,7,0,854.38029,-1.7481281,-1.2817151,-1.8391276,-1.4720463,-1.314803,-0.57817573,-0.81351327,0.4432979
-850.55866,0.98338135,0.53867711,2,3,0,852.77329,-1.7458968,-1.3434879,-1.8922291,-1.21413,-1.3204473,-1.3986902,-0.85633647,0.42471519
-851.91974,0.88631038,0.53867711,3,7,0,854.33579,-1.6705974,-1.456971,-1.5741421,-1.9211553,-0.90451839,-1.4186819,-0.62029149,0.53778766
-849.42356,0.96904797,0.53867711,3,7,0,854.61177,-1.6677976,-1.3584474,-1.7598769,-0.98006789,-0.98937674,-1.5975583,-0.96241597,0.38196894
-848.85912,0.99223691,0.53867711,3,7,0,851.44071,-1.6883245,-1.4791537,-1.6731243,-1.6997027,-0.67679672,-1.2112832,-0.75946955,0.46791456
-851.24735,0.89268581,0.53867711,3,7,0,853.27127,-1.6158179,-1.4859206,-1.793321,-0.70724694,-0.47615342,-1.1570314,-0.90787624,0.40338
-853.66853,0.60805642,0.53867711,3,7,0,858.28036,-1.5103385,-1.3379495,-1.5166021,-0.96582339,-0.27957726,-1.1218385,-0.80927424,0.44518104
-850.65783,1,0.53867711,3,7,0,855.26095,-1.6729764,-1.284024,-1.644134,-1.3878781,-1.0118296,-1.4228596,-0.67745559,0.50790768
-848.75516,1,0.53867711,2,3,0,850.88089,-1.6718693,-1.3798023,-1.6886856,-1.573407,-0.99621987,-1.423542,-0.89895845,0.40699334
-852.98674,0.75504053,0.53867711,2,7,0,857.11285,-1.6223715,-1.3109565,-1.7658417,-1.9683147,-1.2120853,-0.94412802,-0.96359221,0.38151992
-851.07206,0.98321632,0.53867711,3,7,0,856.30995,-1.7511133,-1.5580335,-1.6413647,-0.9555337,-0.60325649,-2.00022,-0.80543796,0.44689216
-850.70591,0.81550898,0.53867711,3,7,0,857.37502,-1.7732053,-1.4254661,-1.4717756,-1.0846212,-1.048198,-1.8487846,-0.73435901,0.47981291
-848.17853,1,0.53867711,3,7,0,851.43629,-1.6260804,-1.3718702,-1.6977378,-1.2309996,-0.71342432,-1.8313995,-0.94644202,0.38811949
-848.74393,0.91241218,0.53867711,3,7,0,850.33714,-1.7035274,-1.3766514,-1.5757625,-1.2896947,-1.2012395,-0.99322324,-0.79697124,0.45069194
-851.03532,0.75839335,0.53867711,3,7,0,852.8397,-1.7328161,-1.3645118,-1.7286564,-1.5448661,-0.8467478,-0.90604682,-0.62202502,0.53685619
-852.26516,0.85146789,0.53867711,3,7,0,854.47418,-1.6062383,-1.4593656,-1.7788023,-1.1826574,-0.81336129,-4.2847045,-0.89217918,0.40976183
-849.16975,1,0.53867711,3,7,0,853.09979,-1.6356438,-1.2678902,-1.7727611,-1.3232654,-0.73492141,-0.41684749,-0.85969724,0.42329022
-849.27017,0.98064458,0.53867711,3,7,0,851.01769,-1.6609464,-1.4854584,-1.4959284,-1.3744046,-0.77482696,-2.6170541,-0.80404506,0.44751507
-850.53058,0.85159909,0.53867711,3,7,0,853.3698,-1.7045458,-1.45151,-2.0204407,-1.6594725,-1.3320429,-1.8855806,-0.74941796,0.47264157
-850.93736,0.95531718,0.53867711,2,7,0,853.60289,-1.7168908,-1.4300724,-1.4359707,-0.91306508,-0.69563331,-2.4655583,-0.79274437,0.45260099
-851.74885,0.96174523,0.53867711,3,7,0,853.01369,-1.5335007,-1.3021919,-1.8157331,-1.5165886,-0.73772805,-0.34145782,-0.8130107,0.44352075
-850.23346,0.99555673,0.53867711,3,7,0,853.45354,-1.7184069,-1.3849163,-1.4687921,-0.97486431,-0.94146378,-2.5993295,-0.84548026,0.42935111
-850.42591,0.96144802,0.53867711,3,7,0,853.46379,-1.7951152,-1.3107663,-1.5745614,-1.3621061,-0.84450202,-0.75927502,-0.81980244,0.44051868
-851.04568,0.98893674,0.53867711,3,7,0,852.24538,-1.5652185,-1.5345243,-1.9550621,-1.3510756,-0.87240084,-2.3473726,-0.84600864,0.42912431
-851.0247,0.94894051,0.53867711,3,7,0,854.97862,-1.656376,-1.6247455,-1.475328,-1.4248839,-1.0885437,-2.0209335,-0.73934353,0.47742723
-850.32265,0.97569624,0.53867711,3,7,0,854.0521,-1.8045204,-1.3306944,-1.7349128,-1.4970186,-0.82717188,-1.0390222,-0.74777247,0.47341994
-851.50525,0.91936463,0.53867711,3,7,0,853.55676,-1.7781954,-1.297641,-1.7400266,-1.6693337,-0.95362937,-1.455784,-0.65133804,0.52134772
-850.41108,0.69236113,0.53867711,2,3,0,854.50792,-1.7901221,-1.4124199,-1.7602207,-1.6784211,-1.0075815,-1.6983867,-0.80289346,0.44803073
-851.52184,0.96863009,0.53867711,2,3,0,852.35503,-1.814797,-1.4173733,-1.7117226,-1.6898728,-1.0955902,-1.1301408,-0.81659923,0.44193201
-851.6735,0.96783864,0.53867711,3,7,0,853.93837,-1.8067196,-1.3287909,-1.687255,-1.5830783,-1.0105882,-0.45610046,-0.75330935,0.47080591
-849.54569,1,0.53867711,3,7,0,853.03744,-1.5941353,-1.3468243,-1.7034501,-0.97845305,-1.0502766,-2.3148281,-0.91487872,0.4005652
-848.70056,0.99040715,0.53867711,3,7,0,850.16833,-1.6276547,-1.3790945,-1.7462244,-0.91399366,-0.85696333,-1.6068481,-0.91034614,0.40238492
-849.89203,0.89495328,0.53867711,3,7,0,852.58325,-1.7394268,-1.3390126,-1.6560756,-1.7170869,-0.78581727,-2.2837812,-0.76579064,0.46496616
-852.46955,0.93814446,0.53867711,3,7,0,854.38074,-1.6863579,-1.4934779,-1.6252777,-0.95076834,-1.0599436,-3.9210395,-0.80445204,0.44733298
-852.52278,0.93998056,0.53867711,3,7,0,856.63323,-1.7198563,-1.620569,-1.437091,-1.1087423,-0.4915453,-2.422941,-0.7757825,0.46034342
-851.47585,0.86479894,0.53867711,3,7,0,857.43453,-1.7176524,-1.3303333,-1.4447992,-1.7007708,-1.0856681,-1.6909524,-0.68183059,0.50569043
-854.02173,0.8735875,0.53867711,2,3,0,854.74544,-1.6902284,-1.2803652,-1.3414132,-1.7199346,-1.1363664,-1.328738,-0.66434484,0.51461057
