# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 08:18:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-202604291618-2-541368.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/continuous/continuous-profile-202604291618-2-63bfea.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.563351
# Diagonal elements of inverse mass matrix:
# 0.313469, 0.635376, 0.001153
-1560.9281,0.96730063,0.56335139,3,11,0,1562.4725,62.27374,-8.6096509,8.1384915,-8.6096509
-1557.8419,0.99024637,0.56335139,2,3,0,1561.0586,63.079279,-8.4442425,8.2312646,-8.4442425
-1558.2488,0.9706045,0.56335139,3,7,0,1558.9856,62.875575,-7.97137,8.3684679,-7.97137
-1559.6732,0.74150653,0.56335139,2,3,0,1560.0063,63.213128,-7.451302,8.3191941,-7.451302
-1559.2679,0.99436716,0.56335139,2,3,0,1559.9376,62.472847,-8.3102549,8.4343087,-8.3102549
-1560.2095,0.91739443,0.56335139,2,3,0,1561.2962,63.116192,-7.6107697,7.8682094,-7.6107697
-1559.0533,0.66570282,0.56335139,2,3,0,1564.181,62.806112,-8.8590148,8.5317678,-8.8590148
-1559.0736,0.99115747,0.56335139,3,7,0,1559.5587,63.301777,-7.7869865,8.1543689,-7.7869865
-1558.9351,0.98247758,0.56335139,2,7,0,1560.0489,63.184538,-9.53604,8.2891082,-9.53604
-1558.1609,0.98943251,0.56335139,2,7,0,1560.3015,63.106752,-8.8397862,8.0850501,-8.8397862
-1558.4489,0.98535512,0.56335139,3,7,0,1558.9359,63.228932,-9.0385578,8.5504358,-9.0385578
-1558.575,0.98516821,0.56335139,3,7,0,1559.3094,62.676205,-7.7893138,8.2185275,-7.7893138
-1559.1952,0.94936114,0.56335139,2,7,0,1560.3512,63.859099,-9.6236589,8.5957259,-9.6236589
-1559.6858,0.91907843,0.56335139,2,7,0,1561.6769,62.7339,-7.8524259,7.8566525,-7.8524259
-1557.7745,0.78686287,0.56335139,3,7,0,1561.0898,63.243203,-8.7450326,8.2898291,-8.7450326
-1557.9461,0.96292823,0.56335139,1,3,0,1557.9956,63.107826,-8.8478728,8.2485561,-8.8478728
-1557.9796,0.9376381,0.56335139,2,7,0,1558.5813,63.531131,-8.7040241,8.2305594,-8.7040241
-1557.9884,0.99324634,0.56335139,1,3,0,1558.3414,63.617364,-9.0889576,8.2448584,-9.0889576
-1558.2342,0.94992767,0.56335139,2,7,0,1559.1827,63.504016,-8.7479147,8.0415476,-8.7479147
-1558.2403,0.98718138,0.56335139,2,7,0,1558.629,63.111023,-8.7861268,8.5066859,-8.7861268
-1558.7901,0.90937888,0.56335139,2,5,0,1559.2496,63.702599,-8.41995,8.2429147,-8.41995
-1558.325,0.99420334,0.56335139,2,5,0,1559.0335,63.504,-9.4544031,8.1520248,-9.4544031
-1558.9842,0.93722233,0.56335139,3,7,0,1560.6735,62.760094,-7.896245,8.6064491,-7.896245
-1560.1111,0.9060138,0.56335139,3,7,0,1561.0358,62.944311,-8.9111816,7.779019,-8.9111816
-1560.1967,0.99923974,0.56335139,2,3,0,1560.9678,63.326653,-8.7675696,7.6822982,-8.7675696
-1558.5731,0.93127927,0.56335139,2,3,0,1561.6226,63.481568,-8.9764238,7.9366362,-8.9764238
